station_id	capacity	curUsable	targetUsable	curBroken
127	23	18	21	3
237	31	29	27	0
267	51	1	1	18
469	18	8	15	8
385	27	20	14	3
5	39	11	15	0
406	59	9	15	45
191	39	6	7	14
343	27	8	12	14
257	36	0	10	6
270	53	33	20	7
35	23	12	6	6
404	43	14	34	6
374	19	16	19	0
362	27	5	2	21
377	31	22	24	7
17	29	3	9	2
479	39	17	15	4
125	35	3	1	30
298	27	13	22	6
286	39	23	34	13
49	27	7	5	14
178	19	9	9	3
163	31	10	9	16
339	25	17	8	3
60	27	9	5	12
334	23	17	10	4
441	59	32	41	23
453	22	8	9	12
151	47	16	7	5
505	43	1	11	7
126	42	15	2	23
73	27	15	18	10
3	27	15	19	0
152	42	5	8	33
223	47	30	26	1
123	35	5	13	7
417	37	8	16	14
134	23	15	19	4
133	43	19	17	14
516	14	11	7	1
226	34	31	33	1
82	55	37	26	5
357	36	12	19	10
438	31	10	29	1
454	18	9	12	7
439	43	26	36	1
445	14	2	3	0
467	26	10	19	15
354	19	3	11	2
108	23	5	3	11
472	21	12	13	6
142	27	17	16	3
327	18	13	16	3
461	18	7	8	5
493	39	34	21	4
39	31	8	3	13
88	37	9	12	7
119	19	16	19	1
244	39	1	11	0
513	14	0	14	13
69	19	13	12	3
1	39	21	33	1
456	34	3	9	6
372	27	11	10	9
174	41	2	16	15
140	57	0	26	8
154	36	5	3	21
67	19	13	13	5
240	25	13	12	6
489	33	20	31	8
220	49	2	1	45
94	31	24	25	2
269	27	7	20	17
345	33	3	13	5
282	59	20	27	21
86	36	2	9	5
347	33	16	21	13
322	23	17	15	5
80	27	15	24	11
259	43	16	40	8
215	35	6	14	17
376	24	17	22	1
79	35	11	21	4
155	39	29	29	8
316	27	17	16	9
294	27	25	20	1
160	35	6	3	20
4	62	33	38	6
515	26	0	26	8
509	14	6	11	5
245	39	0	10	25
401	41	22	41	5
44	23	14	20	2
13	39	2	16	1
390	31	21	18	1
16	33	4	7	6
344	31	17	17	5
360	31	5	5	13
170	31	24	17	5
492	19	9	14	5
419	39	1	15	36
420	39	13	29	3
473	22	11	15	4
330	19	10	16	5
66	31	22	23	5
121	23	16	6	2
365	23	9	22	1
110	39	1	6	11
